Category,Edit Type,Edit Number,Edit Description,User Friendly Language,Affected Data Fields
LAR,Validity,V250,Loan amount must be numeric and > zero.,The loan amount must be provided as a number greater than zero. Please update your file accordingly.,Loan Amount
LAR,Validity,V415,"Preapproval must = 1, 2, or 3.","Preapproval must equal 1, 2, or 3. An invalid preapproval code was reported. Please update your file accordingly.",Preapprovals
LAR,Validity,V425,"If loan purpose = 1 and action taken type = 6, then preapproval must = 3.","Not applicable must be reported in the preapproval data field (preapproval = 3) for home purchase loans that are purchased by your institution (loan purpose = 1, action taken type = 6). Please update your file accordingly. ",Loan Purpose; Preapprovals; Type of Action Taken
LAR,Validity,V430,"If loan purpose = 2 or 3, then preapproval must = 3.",Not applicable must be reported in the preapproval data field (preapproval = 3) for home improvement or refinancing loans (loan purpose = 2 or 3). Please update your file accordingly.,Loan Purpose; Preapprovals
LAR,Validity,V435,"If action taken type = 7 or 8, then preapproval must = 1","Preapproval was requested must be reported in the preapproval data field (preapproval = 1) if the preapproval request was denied by your financial institution or if the preapproval request was approved by your institution, but not accepted (action taken type = 7 or 8). Please update your file accordingly.",Type of Action Taken; Preapprovals
LAR,Validity,V255,"Action taken type must = 1, 2, 3, 4, 5, 6, 7, or 8.","Action taken type must equal 1, 2, 3, 4, 5, 6, 7, or 8. An invalid action taken type code was reported.  Please update your file accordingly.",Type of Action Taken
LAR,Validity,V260,"If reasons for denial are in the range 1-9, then action taken type must = 3 or 7.","Application denied by financial institution or Preapproval request denied by financial institution (action taken type = 3 or 7) must be reported in the action taken type data field if a denial reason is reported (denial reason = 1, 2, 3, 4, 5, 6, 7, 8, or 9). Please update your file accordingly.",Type of Action Taken; Denial Reason: 1; Denial Reason: 2; Denial Reason: 3
LAR,Validity,V262,"If date application received = NA, then action taken type must = 6.",Loan purchased by your institution must be reported in the action taken type data field (action taken type = 6) if the date application received is reported as NA. Please update your file accordingly.,Type of Action Taken; Date Application Received
LAR,Validity,V440,"If preapproval = 1, then action taken type must = 1-5, 7 or 8.","If a preapproval was requested (preapproval = 1), then the action taken type cannot be loan purchased by your institution (action taken type = 6). Please update your file accordingly.",Type of Action Taken; Preapprovals
LAR,Validity,V445,"If preapproval = 2, then action taken type must = 1-5.","If a preapproval was not requested (preapproval = 2), the action taken type must equal 1, 2, 3, 4, or 5. Please update your file accordingly.",Type of Action Taken; Preapprovals
LAR,Validity,V447,"If preapproval = 3, then action taken type must = 1-6.","If Not applicable was indicated for preapprovals (preapproval = 3), the action taken type must equal 1, 2, 3, 4, 5, or 6. Please update your file accordingly.",Type of Action Taken; Preapprovals
LAR,Validity,V265,"Action taken date must be in YYYYMMDD format; month and day must be in the range 01-12 and 01-31, respectively. YYYY must be numeric.",Action taken date must be reported as a valid date and in the proper format YYYYMMDD. Please update your file accordingly.,Date of Action
LAR,Syntactical,S270,Year (YYYY) of action taken date must = activity year (YYYY) for period being processed.”,The year of action take date (YYYY) must equal the activity year that is being processed. Please update your file accordingly.,Date of Action; Activity Year
LAR,Validity,V275,"If date application received does not = NA, then action taken date must be ≥ date application received.","Date application received must be reported as earlier than the action taken date or as ""NA"". Please update your file accordingly.",Date Application Received; Date of Action
LAR,Validity,V280,MSA/MD must = a valid Metropolitan Statistical Area or Metropolitan Division (if appropriate) code for period being processed or NA.,"The reported MSA/MD must be a valid Metropolitan Statistical Area or Metropolitan Division as defined by the Census Bureau and OMB or be populated with ""NA"". Please update your file accordingly.",Metropolitan Statistical Area / Metropolitan Division
LAR,Validity,V285,State must = a valid FIPS code or (NA where MSA/MD = NA).,"There are two scenarios that trigger this edit: 1) The reported state code is not a valid FIPS code, or 2) The state code is reported as NA, and not as a FIPS code, but the MSA/MD was not reported as NA. Please update your file accordingly.",State Code; Metropolitan Statistical Area / Metropolitan Division
LAR,Validity,V290,"If MSA/MD does not = NA, then MSA/MD, state, and county codes must = a valid combination.","When the reported MSA/MD does not equal NA, then state, county and MSA/MD data fields must be reported with a valid combination of state, county and MSA/MD codes. Please update your file accordingly.",Metropolitan Statistical Area / Metropolitan Division; State Code; County Code
LAR,Validity,V295,State and county must = a valid combination or (county = NA where MSA/MD = NA).,"There are two scenarios that trigger this edit: 1) MSA/MD is reported with a code, but the codes reported for state and county are not a valid combination, or 2) County is reported as NA, but MSA/MD was not reported as NA. Please update your file accordingly.",Metropolitan Statistical Area / Metropolitan Division; State Code; County Code
LAR,Validity,V300,"Census tract must = a valid census tract number for the MSA/MD, state, county combination or (NA if county is classified as small) or (where MSA/MD = NA the census tract must = a valid census tract for the state/county combination or NA). Valid census tract format must be NNNN.NN or NA.","There are four scenarios that trigger this edit: 1) The census tract number is not valid based on the reported state, county, and MSA/MD combination, or 2) MSA/MD is reported as NA, and the reported census tract is either not reported as NA, or is not valid based on the reported state and county combination, or 3) The format for the reported census tract is not NNNN.NN or reported as NA, or 4) census tract is reported as NA but the reported county is not classified as small. Please update your file accordingly.",Metropolitan Statistical Area / Metropolitan Division; State Code; County Code; Census Tract
LAR,Validity,V450,"Applicant ethnicity must = 1, 2, 3, or 4.","Applicant Ethnicity must equal 1, 2, 3, or 4. An invalid applicant ethnicity was reported. Please update your file accordingly.",Applicant Ethnicity
LAR,Validity,V460,"Co-Applicant ethnicity must = 1, 2, 3, 4, or 5.","Co-applicant Ethnicity must equal 1, 2, 3, 4 or 5. An invalid co-applicant ethnicity was reported. Please update your file accordingly.",Co-applicant Ethnicity
LAR,Validity,V463,"Co-Applicant ethnicity does not = 5; however, co-applicant race field 1 = 8 and/or co-applicant sex = 5.","The reported co-applicant ethnicity data field indicates that there is a co-applicant (co-applicant ethnicity does not equal 5). However, the reported co-applicant race and/or co-applicant sex data fields indicate that there is no co-applicant (co-applicant race = 8; co-applicant sex = 5). Please update your file accordingly.",Co-applicant Ethnicity; Co-applicant Race: 1; Co-applicant Sex
LAR,Validity,V455,"If applicant ethnicity = 1, 2 or 3 then the first applicant race field must not = 7.","The reported applicant ethnicity data field indicates that there is an applicant (applicant ethnicity equals 1, 2, or 3). However, the applicant race: 1 data field indicates that there is no applicant (applicant race: 1 = 7). Please update your file accordingly.",Applicant Ethnicity; Applicant Race: 1
LAR,Validity,V465,"If co-applicant ethnicity = 1, 2 or 3 then the first co-applicant race field must not = 7 or 8.","The reported co-applicant ethnicity data field indicates that there is a co-applicant (co-applicant ethnicity equals 1, 2, or 3). However, the reported co-applicant race: 1 data field indicates that there is no co-applicant (co-applicant race: 1 = 7 or 8). Please update your file accordingly.",Co-applicant Ethnicity; Co-applicant Race: 1
LAR,Validity,V310,"Applicant race field 1 must = 1, 2, 3, 4, 5, 6, or 7.","Applicant Race: 1 must equal 1, 2, 3, 4, 5, 6 or 7. An invalid applicant race code was reported. Please update your file accordingly.",Applicant Race: 1
LAR,Validity,V470,"If applicant race = 1-5 in applicant race field 1, then all other applicant race fields must = blank or 1-5.","The reported applicant race data field indicates that the applicant provided race information (applicant race: 1 = 1, 2, 3, 4, or 5).  Then applicant race data fields 2 - 5 must be blank or equal 1, 2, 3, 4, or 5. Please update your file accordingly.",Applicant Race: 1; Applicant Race: 2; Applicant Race: 3; Applicant Race: 4; Applicant Race: 5
LAR,Validity,V475,"If applicant race = 6 or 7 in applicant race field 1, then all other applicant race fields must = blank.",The reported applicant race data field indicates that the applicant did not provide race information (applicant race: 1 = 6 or 7). Then applicant race data fields 2 - 5 must be blank. Please update your file accordingly.,Applicant Race: 1; Applicant Race: 2; Applicant Race: 3; Applicant Race: 4; Applicant Race: 5
LAR,Validity,V480,"Applicant race must not be the same (i.e. 1,1; 1,1,2; 1,2,3,4,1), when more than one applicant race is designated.",Race codes may not be duplicated in the applicant race data fields. Each race code can only be reported once. Please update your file accordingly.,Applicant Race: 1; Applicant Race: 2; Applicant Race: 3; Applicant Race: 4; Applicant Race: 5
LAR,Validity,V315,"Co-Applicant race field 1 must = 1, 2, 3, 4, 5, 6, 7, or 8.","Co-applicant race: 1 must equal 1, 2, 3, 4, 5, 6, 7, or 8. An invalid co-applicant race code was provided. Please update your file accordingly.",Co-applicant Race: 1
LAR,Validity,V317,"Co-Applicant race field 1 does not = 8; however, co-applicant ethnicity and/or co-applicant sex = 5.","The reported co-applicant race: 1 data field indicates that there is a co-applicant (co-applicant race: 1 does not equal 8). However, the reported co-applicant ethnicity and/or co-applicant sex data fields indicate that there is no co-applicant (co-applicant race = 5; co-applicant sex = 5). Please update your file accordingly.",Co-applicant Ethnicity; Co-applicant Race: 1; Co-applicant Sex
LAR,Validity,V485,"If co-applicant race = 1-5 in co-applicant race field 1, then all other co-applicant race fields must = blank or 1-5.","The reported co-applicant race data field indicates that the co-applicant provided race information (co-applicant race: 1 = 1, 2, 3, 4, or 5).  Then co-applicant race data fields 2 - 5 must be blank or equal 1, 2, 3, 4, or 5. Please update your file accordingly.",Co-applicant Race: 1; Co-applicant Race: 2; Co-applicant Race: 3; Co-applicant Race: 4; Co-applicant Race: 5
LAR,Validity,V490,"If co-applicant race = 6, 7, or 8 in co-applicant race field 1, then all other co-applicant race fields must = blank.","The reported co-applicant race data field indicates that the co-applicant did not provide race information (co-applicant race :1 = 6, 7 or 8). Then co-applicant race data fields 2 - 5 must be blank. Please update your file accordingly.",Co-applicant Race: 1; Co-applicant Race: 2; Co-applicant Race: 3; Co-applicant Race: 4; Co-applicant Race: 5
LAR,Validity,V495,"Co-Applicant race must not be the same (i.e. 1,1; 1,1,2; 1,2,3,4,1), when more than one co-applicant race is designated.",Race codes may not be duplicated in the co-applicant race data fields. Each race code can only be reported once. Please update your file accordingly.,Co-applicant Race: 1; Co-applicant Race: 2; Co-applicant Race: 3; Co-applicant Race: 4; Co-applicant Race: 5
LAR,Validity,V320,"Applicant sex must = 1, 2, 3, or 4.","Applicant sex must equal 1, 2, 3, or 4. An invalid applicant sex code was reported. Please update your file accordingly.",Applicant Sex
LAR,Validity,V325,"Co-Applicant sex must = 1, 2, 3, 4, or 5.","Co-applicant sex must equal 1, 2, 3, 4, or 5. An invalid co-applicant sex code was reported. Please update your file accordingly.",Co-applicant Sex
LAR,Validity,V326,"Co-Applicant sex does not = 5; however, co-applicant ethnicity = 5 and/or co-applicant race field 1 = 8.","The reported co-applicant sex data field indicates that there is a co-applicant (co-applicant sex = 1, 2, 3, or 4). However, the co-applicant ethnicity and/or co-applicant race: 1 data fields indicate that there is no co-applicant (co-applicant ethnicity = 5 and/or co-applicant race: 1 = 8). Please update your file accordingly.",Co-applicant Ethnicity; Co-applicant Race: 1; Co-applicant Sex
LAR,Validity,V330,"Income must be numeric and > 0, or equal NA.","The income data field must be reported as a number greater than zero, or reported as ""NA"". Please update your file accordingly.",Applicant Income
LAR,Validity,V335,"If property type = 3, then income must = NA.","If the property type is reported as multifamily (property type = 3), then income must be reported as ""NA"". Please update your file accordingly.",Property Type; Applicant income
LAR,Validity,V338,"If applicant ethnicity, race, and sex = 4, 7, and 4, respectively, and co- applicant ethnicity, race, and sex = 5, 8, and 5, respectively, and action taken = 1-5 or 7-8, then applicant income must = NA.","Applicant income must be reported as ""NA"" if the following three criteria are met: 1) Applicant ethnicity, race, and sex indicate that the applicant is a non natural person (applicant ethnicity = 4, applicant race = 7, and applicant sex = 4) 2) Co-applicant ethnicity, race, and sex indicate that there is no co-applicant (co-applicant ethnicity = 5, co-applicant race = 8, co-applicant sex = 5) 3) The loan was not purchased by your institution (action take = 1-5 or 7-8). You have reported a loan that meets these three criteria, but income was not reported as ""NA"". Please update your file accordingly.",Applicant Race: 1; Applicant Ethnicity; Applicant Sex; Co-applicant Ethnicity; Co-applicant Race: 1; Co-applicant Sex; Type of Action Taken; Applicant Income
LAR,Validity,V340,"Type of purchaser must = 0, 1, 2, 3, 4, 5, 6, 7, 8, or 9.","Type of purchaser must equal 0, 1, 2, 3, 4, 5, 6, 7, 8, or 9. An invalid type of purchaser code was reported. Please update your file accordingly.",Type of Purchaser
LAR,Validity,V347,"If type of purchaser = 1, 2, 3, 4, 5, 6, 7, 8, or 9, then action taken type must be 1 or 6.","If the reported loan was sold in the calendar year (type of purchaser does not equal 0), then the action taken type must be reported as loan originated or loan purchased by your institution (action taken type = 1 or 6). Please update your file accordingly.",Type of Action Taken; Type of Purchaser
LAR,Validity,V375,"If type of purchaser = 2, then loan type must = 2, 3, or 4.","If the loan was sold to Ginnie Mae (type of purchaser = 2), then the loan type cannot be classified as a conventional loan (loan type = 2, 3, or 4). Please update your file accordingly.",Type of Purchaser; Loan Type
LAR,Validity,V355,"If (agency code = 2, 3, 5, 7, or 9) or (agency code = 1 and action taken not = 3 or 7), then reasons for denial must = 1, 2, 3, 4, 5, 6, 7, 8, 9, or blank.","There are two scenarios that trigger this edit: 1) if your institution is regulated by the Office of Comptroller of the Currency (OCC) (agency code = 1), and your institution did not deny the application or preapproval request (action taken type does not equal 3 or 7), then the reasons for denial must be reported (reasons for denial must equal 1-9) or blank or 2) if your institution is not regulated by the OCC (agency code = 2, 3, 5, 7,  or 9), then the reasons for denial can either be reported (reasons for denial must equal 1-9) or left blank. Please update your file accordingly.",Agency Code; Type of Action Taken; Denial Reason: 1; Denial Reason: 2; Denial Reason: 3
LAR,Validity,V360,"Responses for reasons for denial must not be the same (i.e. 1,1; 1,1,2; 1,2,2;...........).",Reason for denial codes may not be duplicated in the reasons for denial data fields. Each denial code may only be reported once. Please update your file accordingly.,Denial Reason: 1; Denial Reason: 2; Denial Reason: 3
LAR,Validity,V385,"If agency code = 1 and action taken = 3 or 7, then at least one reason for denial must be provided and must = 1, 2, 3, 4, 5, 6, 7, 8, or 9. Other reasons for denial must = 1, 2, 3, 4, 5, 6, 7, 8, 9 or blank.","If your institution is regulated by the OCC (agency code = 1) and your institution denied an application or preapproval (action taken = 3 or 7), then at least one reason for denial must be provided (denial reason: 1 = 1-9, and denial reason: 2 = 1-9 or blank, and denial reason: 3 = 1-9 or blank). Please update your file accordingly.",Agency Code; Type of Action Taken; Denial Reason: 1; Denial Reason: 2; Denial Reason: 3
LAR,Validity,V500,"Rate spread must be in the NN.NN format, or NA, must not = blank.","Rate spread must be reported in the NN.NN format or reported as ""NA"". Please update your file accordingly.",Rate Spread
LAR,Validity,V505,"If action taken type = 2-8, then rate spread must = NA.","If the reported loan was not originated (action taken type = 2-8), then rate spread must be reported as ""NA"". Please update your file accordingly.",Rate Spread; Type of Action Taken
LAR,Validity,V570,"If lien status = 1, then rate spread must be > 1.5% and ≤ 99.99% or NA.","If the loan is secured by a first lien (lien status = 1), then the reported value of the rate spread must either be greater than or equal to 1.5% and less than or equal to 99.99%; or reported as ""NA"". Please update your file accordingly.",Rate Spread; Lien Status
LAR,Validity,V575,"If lien status = 2, then rate spread must be ≥ 3.5% and ≤ 99.99% or NA.","If the loan is secured by a subordinate lien (lien status = 2), then the reported value of the rate spread must either be greater than or equal to 3.5% and less than or equal to 99.99%; or reported as ""NA"". Please update your file accordingly.",Rate Spread; Lien Status
LAR,Validity,V520,"If lien status = 3, then rate spread must = NA.","If the loan is not secured by a lien (lien status = 3), then rate spread must be reported as ""NA"". Please update your file accordingly.",Rate Spread; Lien Status
LAR,Validity,V540,"If action taken type = 2-5, 7, or 8, then HOEPA status must = 2.","The loan is not a HOEPA loan (HOEPA Status = 2) if the loan is not originated or purchased (action taken type = 2-5, 7, or 8). Please update your file accordingly.",Type of Action Taken; HOEPA Status
LAR,Validity,V525,HOEPA status must = 1 or 2.,HOEPA Status must equal 1 or 2. An invalid HOEPA Status code was reported. Please update your file accordingly.,HOEPA Status
LAR,Validity,V535,"If applicant ethnicity, race and sex = 4, 7, and 4, respectively, and action taken does not = 6, then HOEPA status must not = 1.","The loan is not a HOEPA loan (HOEPA Status =2) if the reported applicant is a non natural person and the loan was not purchased by your institution (applicant ethnicity = 4, applicant race = 7, applicant sex = 4, and action taken does not equal 6). Please update your file accordingly.",Type of Action Taken; Applicant Ethnicity; Applicant Race: 1; Applicant Sex; HOEPA Status
LAR,Validity,V545,"If lien status = 3, then HOEPA status must = 2.","If the loan is not secured by a lien (lien status = 3), then the loan is not a HOEPA loan (HOEPA Status = 2). Please update your file accordingly.",Lien Status; HOEPA Status
LAR,Validity,V550,"Lien status must = 1, 2, 3, or 4.","Lien status must equal 1, 2, 3, or 4. An invalid lien status code was reported. Please update your file accordingly.",Lien Status
LAR,Validity,V555,"If loan purpose = 1 or 3, then lien status must = 1, 2, or 4.","If the purpose of the loan is for home purchase or refinancing (loan purpose = 1 or 3), then the reported lien status must be secured by a first or secondary lien or not applicable (lien status = 1, 2,  or 4). Please update your file accordingly.",Loan Purpose; Lien Status
LAR,Validity,V560,"If action taken type = 1-5, 7 or 8, then lien status must = 1, 2, or 3.","If the reported loan is not purchased by your institution (action taken type = 1-5, 7, or 8), then the lien status must not be NA (lien status = 1, 2, or 3). Please update your file accordingly.",Type of Action Taken; Lien Status
LAR,Validity,V565,"If action taken type = 6, then lien status must = 4.","If the loan is purchased by your institution (action taken type = 6), then the reported lien status must be NA (lien status = 4). Please update your file accordingly.",Type of Action Taken; Lien Status
Transmittal Sheet,Quality,Q033,"If respondent is a bank, savings association, or independent mortgage company, and if any parent company exists, then parent name, address, city, state and zip code should not = blank.","If your institution is a bank, savings association, or independent mortgage company, then the name, address, city, state, and zip code of the parent should be provided in the respective parent fields. Please verify and update your file if needed.",Parent Name; Parent Address; Parent City; Parent State; Parent ZIP Code
Transmittal Sheet,Quality,Q020,Institution address should not = parent address.,The reported institution address should not equal the reported parent address. Please verify and update your file if needed.,Parent Address; Parent City; Parent State; Parent ZIP Code; Respondent Address; Respondent City; Respondent State; Respondent ZIP Code; 
Transmittal Sheet,Quality,Q012,The reported Tax ID number on the transmittal sheet of your HMDA data file does not match the Tax ID number reported in the previous calendar year submission.,The reported Tax ID number should match the Tax ID number reported in the previous calendar year's submission. Please verify and update your file if needed.,Tax ID
Transmittal Sheet,Quality,Q130,The number of loan/application records received in this transmission file per respondent does not = the total number of loan/application records reported in this respondent’s transmission or the total number of loan/application records in this submission is missing from the transmittal sheet.,"There are two scenarios that trigger this edit: 1) The reported Total Line Entries on the Transmittal Sheet does not match the number of loan/application records reported in the file, or 2) The reported Total Line Entries on the Transmittal Sheet is blank. Please verify and update your file if needed.",Total Line Entries
LAR,Quality,Q022,Date application received should = activity year or (activity year minus 1 or activity year minus 2).,"The reported date application received for the loan should be a date that occurs during the reported activity year or within the two years prior. For example, for data collected in 2017, the date application received should be within the range of 01/01/2015 - 12/31/2017. Please verify and update your file if needed.",Date Application Received
LAR,Quality,Q035,"If purchaser type = 1 or 3, then loan type should = 1.","If the reported purchaser type is Fannie Mae or Freddie Mac (purchaser type = 1 or 3), then the loan type should be reported as Conventional (loan type = 1). Please verify and update your file if needed.",Loan Type; Type of Purchaser
LAR,Quality,Q001,"If loan amount and income are numeric and > 0 and the loan amount is ≥ $1,000 ($1 million), then loan amount should be < 5 times the income.","If the reported loan amount is greater than or equal to $1 million, then the reported loan amount should be less than 5 times of the reported income. Please verify and and update your file if needed.",Applicant Income; Loan Amount
LAR,Quality,Q002,"If property type =1 and income is numeric and ≤ $200 thousand, then loan amount should be < $2 million.","If the property type is reported as a one to four-family (property type = 1), and the reported income is less than or equal to $200 thousand, then reported loan amount should be less than $2 million. Please verify and update your file if needed.",Applicant Income; Loan Amount; Property Type
LAR,Quality,Q003,"If loan type = 2 and property type = 1 or 2, then loan amount should be ≤ $626 ($626 thousand).","If the loan is FHA-insured (loan type = 2), and the property is classified as one to four-family or manufactured housing (property type = 1 or 2), then the loan amount should be less than or equal to $626 thousand. Please verify and update your file if needed.",Loan Type; Property Type; Loan Amount
LAR,Quality,Q004,"If loan type = 3 and property type = 1 or 2, then loan amount should be ≤ $1,050 ($1,050 thousands).","If the loan is VA-guaranteed (loan type = 3), and the property is classified as one to four-family or manufactured housing (property type = 1 or 2),  then the loan amount should be less than or equal to $1.05 million. Please verify and update your file if needed.",Loan Type; Property Type; Loan Amount
LAR,Quality,Q005,"If type of purchaser = 1-4, and property type = 1 or 2, then loan amount should be ≤ $1,203 ($1,203 thousand).","If the loan was sold to Fannie Mae, Ginnie Mae, Freddie Mac, or Farmer Mac (type of purchase = 1-4), and the property is classified as one to four-family or manufactured housing (property type = 1 or 2), then the loan amount should be less than or equal to $1.203 million. Please verify and update your file if needed.",Type of Purchaser; Property Type; Loan Amount
LAR,Quality,Q013,"If property type = 3, then loan amount should be in the range of $100 thousand and $10 million.","If the property is classified as multifamily (property type = 3), then the reported loan amount should be between $100 thousand and $10 million. Please verify and update your file if needed.",Property Type; Loan Amount
LAR,Quality,Q036,"If property type = 2, then loan amount should be ≤ $150 ($150 thousand).",The loan amount for manufactured housing (property type = 2) should be less than or equal to $150 thousand. Please verify and update your file if needed.,Property Type; Loan Amount
LAR,Quality,Q037,"If lien status = 2, then loan amount should be ≤ $250 ($250 thousand).","If the loan is secured by a subordinate lien (lien status = 2), then the reported loan amount should be less than or equal to $250 thousand. Please verify and update your file if needed.",Lien Status; Loan Amount
LAR,Quality,Q038,"If lien status = 3, then loan amount should be ≤ $100 ($100 thousand).","If the loan is not secured by a lien (lien status = 3), then the reported loan amount should be less than or equal to $100 thousand. Please verify and update your file if needed.",Lien Status; Loan Amount
LAR,Quality,Q025,"If loan purpose = 1 and property type = 1, then loan amount should be > $10 thousand.","If the loan is reported as a home purchase (loan purpose = 1), one to four-family (property type =1), then the reported loan amount should be greater than $10 thousand. Please verify and update your file if needed.",Loan Amount; Loan Purpose; Property Type
LAR,Quality,Q032,"If action taken type = 1, then action taken date should not equal the date application received.","If the loan was originated (action taken type = 1), then the reported action taken date should not equal the reported date application was received. Please verify and update your file if needed.",Type of Action Taken; Date of Action; Date Application Received
