Edit #|Edit Details|Affected Data Fields
V628-1|Ethnicity of Applicant or Borrower: 1 must equal 1, 11, 12, 13, 14, 2, 3, or 4, and cannot be left blank, unless an ethnicity is provided in Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino.|Ethnicity of Applicant or Borrower: 1; Ethnicity of Applicant or Borrower: 2; Ethnicity of Applicant or Borrower: 3; Ethnicity of Applicant or Borrower: 4; Ethnicity of Applicant or Borrower: 5; Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino
V628-2|Ethnicity of Applicant or Borrower: 2; Ethnicity of Applicant or Borrower: 3; Ethnicity of Applicant or Borrower: 4; Ethnicity of Applicant or Borrower: 5 must equal 1, 11, 12, 13, 14, 2, or be left blank.|Ethnicity of Applicant or Borrower: 1; Ethnicity of Applicant or Borrower: 2; Ethnicity of Applicant or Borrower: 3; Ethnicity of Applicant or Borrower: 4; Ethnicity of Applicant or Borrower: 5; Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino
V628-3|Each Ethnicity of Applicant or Borrower code can only be reported once|Ethnicity of Applicant or Borrower: 1; Ethnicity of Applicant or Borrower: 2; Ethnicity of Applicant or Borrower: 3; Ethnicity of Applicant or Borrower: 4; Ethnicity of Applicant or Borrower: 5; Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino
V628-4|If Ethnicity of Applicant or Borrower: 1 equals 3 or 4; then Ethnicity of Applicant or Borrower: 2; Ethnicity of Applicant or Borrower: 3; Ethnicity of Applicant or Borrower: 4; Ethnicity of Applicant or Borrower: 5 must be left blank.|Ethnicity of Applicant or Borrower: 1; Ethnicity of Applicant or Borrower: 2; Ethnicity of Applicant or Borrower: 3; Ethnicity of Applicant or Borrower: 4; Ethnicity of Applicant or Borrower: 5; Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino
V629-1|Ethnicity of Applicant or Borrower Collected on the Basis of Visual Observation or Surname must equal 1, 2, or 3, and cannot be left blank.|Ethnicity of Applicant or Borrower: 1; Ethnicity of Applicant or Borrower: 2; Ethnicity of Applicant or Borrower: 3; Ethnicity of Applicant or Borrower: 4; Ethnicity of Applicant or Borrower: 5; Ethnicity of Applicant or Borrower Collected on the Basis of Visual Observation or Surname; Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino
V629-2|If Ethnicity of Applicant or Borrower Collected on the Basis of Visual Observation or Surname equals 1, then Ethnicity of Applicant or Borrower: 1 must equal 1 or 2; and Ethnicity of Applicant or Borrower: 2 must equal 1, 2 or be left blank; and Ethnicity of Applicant or Borrower: 3; Ethnicity of Applicant or Borrower: 4; and Ethnicity of Applicant or Borrower: 5 must all be left blank.|Ethnicity of Applicant or Borrower: 1; Ethnicity of Applicant or Borrower: 2; Ethnicity of Applicant or Borrower: 3; Ethnicity of Applicant or Borrower: 4; Ethnicity of Applicant or Borrower: 5; Ethnicity of Applicant or Borrower Collected on the Basis of Visual Observation or Surname; Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino
V629-3|If Ethnicity of Applicant or Borrower Collected on the Basis of Visual Observation or Surname equals 2, then Ethnicity of Applicant or Borrower: 1 must equal 1, 11, 12, 13, 14, 2 or 3, and cannot be left blank, unless an ethnicity is provided in Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino|Ethnicity of Applicant or Borrower: 1; Ethnicity of Applicant or Borrower: 2; Ethnicity of Applicant or Borrower: 3; Ethnicity of Applicant or Borrower: 4; Ethnicity of Applicant or Borrower: 5; Ethnicity of Applicant or Borrower Collected on the Basis of Visual Observation or Surname; Ethnicity of Applicant or Borrower: Free Form Text Field for Other Hispanic or Latino
V630|If Ethnicity of Applicant or Borrower: 1 equals 4, then Ethnicity of Applicant or Borrower Collected on the Basis of Visual Observation or Surname must equal 3.|Ethnicity of Applicant or Borrower: 1; Ethnicity of Applicant or Borrower Collected on the Basis of Visual Observation or Surname
V631-1|Ethnicity of Co-Applicant or Co-Borrower: 1 must equal 1, 11, 12, 13, 14, 2, 3, 4, or 5, and cannot be left blank, unless an ethnicity is provided in Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino.|Ethnicity of Co-Applicant or Co-Borrower: 1; Ethnicity of Co-Applicant or Co-Borrower: 2; Ethnicity of Co-Applicant or Co-Borrower: 3; Ethnicity of Co-Applicant or Co-Borrower: 4; Ethnicity of Co-Applicant or Co-Borrower: 5; Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino
V631-2|Ethnicity of Co-Applicant or Co-Borrower: 2; Ethnicity of Co-Applicant or Co-Borrower: 3; Ethnicity of Co-Applicant or Co-Borrower: 4; Ethnicity of Co-Applicant or Co-Borrower: 5 must equal 1, 11, 12, 13, 14, 2, or be left blank.|Ethnicity of Co-Applicant or Co-Borrower: 1; Ethnicity of Co-Applicant or Co-Borrower: 2; Ethnicity of Co-Applicant or Co-Borrower: 3; Ethnicity of Co-Applicant or Co-Borrower: 4; Ethnicity of Co-Applicant or Co-Borrower: 5; Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino
V631-3|Each Ethnicity of Co-Applicant or Co-Borrower code can only be reported once.|Ethnicity of Co-Applicant or Co-Borrower: 1; Ethnicity of Co-Applicant or Co-Borrower: 2; Ethnicity of Co-Applicant or Co-Borrower: 3; Ethnicity of Co-Applicant or Co-Borrower: 4; Ethnicity of Co-Applicant or Co-Borrower: 5; Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino
V631-4|If Ethnicity of Co-Applicant or Co-Borrower: 1 equals 3, 4, or 5; then Ethnicity of Co-Applicant or Co-Borrower: 2; Ethnicity of Co-Applicant or Co-Borrower: 3; Ethnicity of Co-Applicant or Co-Borrower: 4; Ethnicity of Co-Applicant or Co-Borrower: 5 must be left blank.|Ethnicity of Co-Applicant or Co-Borrower: 1; Ethnicity of Co-Applicant or Co-Borrower: 2; Ethnicity of Co-Applicant or Co-Borrower: 3; Ethnicity of Co-Applicant or Co-Borrower: 4; Ethnicity of Co-Applicant or Co-Borrower: 5; Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino
V632-1|Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname must equal 1, 2, 3 or 4, and cannot be left blank.|Ethnicity of Co-Applicant or Co-Borrower: 1; Ethnicity of Co-Applicant or Co-Borrower: 2; Ethnicity of Co-Applicant or Co-Borrower: 3; Ethnicity of Co-Applicant or Co-Borrower: 4; Ethnicity of Co-Applicant or Co-Borrower: 5; Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname; Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino
V632-2|If Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname equals 1; then Ethnicity of Co-Applicant or Co-Borrower: 1 must equal 1 or 2; and Ethnicity of Co-Applicant or Co-Borrower: 2 must equal 1, 2 or be left blank; and Ethnicity of Co-Applicant or Co-Borrower: 3; Ethnicity of Co-Applicant or Co-Borrower: 4; Ethnicity of Co-Applicant or Co-Borrower: 5 must all be left blank.|Ethnicity of Co-Applicant or Co-Borrower: 1; Ethnicity of Co-Applicant or Co-Borrower: 2; Ethnicity of Co-Applicant or Co-Borrower: 3; Ethnicity of Co-Applicant or Co-Borrower: 4; Ethnicity of Co-Applicant or Co-Borrower: 5; Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname; Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino
V632-3|If Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname equals 2; then Ethnicity of Co-Applicant or Co-Borrower: 1 must equal 1, 11, 12, 13, 14, 2 or 3, and cannot be left blank, unless an ethnicity is provided in Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino|Ethnicity of Co-Applicant or Co-Borrower: 1; Ethnicity of Co-Applicant or Co-Borrower: 2; Ethnicity of Co-Applicant or Co-Borrower: 3; Ethnicity of Co-Applicant or Co-Borrower: 4; Ethnicity of Co-Applicant or Co-Borrower: 5; Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname; Ethnicity of Co-Applicant or Co-Borrower: Free Form Text Field for Other Hispanic or Latino
V633|If Ethnicity of Co-Applicant or Co-Borrower: 1 equals 4, then Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname must equal 3.|Ethnicity of Co-Applicant or Co-Borrower: 1; Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
V634|If Ethnicity of Co-Applicant or Co-Borrower: 1 equals 5, then Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname must equal 4, and the reverse must be true.|Ethnicity of Co-Applicant or Co-Borrower: 1; Ethnicity of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
V635-1|Race of Applicant or Borrower: 1 must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 4, 41, 42, 43, 44, 5, 6, or 7, and cannot be left blank, unless a race is provided in Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe, Race of Applicant or Borrower: Free Form Text Field for Other Asian, or Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander.|Race of Applicant or Borrower: 1; Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5; Race of Applicant or Borrower: Free Form Text Field for Other Asian; Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander; Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe
V635-2|Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5 must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 4, 41, 42, 43, 44, 5, or be left blank.|Race of Applicant or Borrower: 1; Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5
V635-3|Each Race of Applicant or Borrower code can only be reported once.|Race of Applicant or Borrower: 1; Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5; Race of Applicant or Borrower: Free Form Text Field for Other Asian; Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander
V635-4|If Race of Applicant or Borrower: 1 equals 6 or 7; then Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5 must all be left blank.|Race of Applicant or Borrower: 1; Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5; Race of Applicant or Borrower: Free Form Text Field for Other Asian; Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander
V636-1|Race of Applicant or Borrower Collected on the Basis of Visual Observation or Surname must equal 1, 2, or 3, and cannot be left blank.|Race of Applicant or Borrower: 1; Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5; Race of Applicant or Borrower Collected on the Basis of Visual Observation or Surname; Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe; Race of Applicant or Borrower: Free Form Text Field for Other Asian; Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander
V636-2|If Race of Applicant or Borrower Collected on the Basis of Visual Observation or Surname equals 1; then Race of Applicant or Borrower: 1 must equal 1, 2, 3, 4, or 5, and Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5 must equal 1, 2, 3, 4, or 5, or be left blank.|Race of Applicant or Borrower: 1; Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5; Race of Applicant or Borrower Collected on the Basis of Visual Observation or Surname; Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe; Race of Applicant or Borrower: Free Form Text Field for Other Asian; Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander
V636-3|If Race of Applicant or Borrower Collected on the Basis of Visual Observation or Surname equals 2, Race of Applicant or Borrower: 1 must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 4, 41, 42, 43, 44, 5 or 6, and cannot be left blank, unless a race is provided in Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe, Race of Applicant or Borrower: Free Form Text Field for Other Asian, or Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander; and Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5 must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 4, 41, 42, 43, 44, 5, or be left blank.|Race of Applicant or Borrower: 1; Race of Applicant or Borrower: 2; Race of Applicant or Borrower: 3; Race of Applicant or Borrower: 4; Race of Applicant or Borrower: 5; Race of Applicant or Borrower Collected on the Basis of Visual Observation or Surname; Race of Applicant or Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe; Race of Applicant or Borrower: Free Form Text Field for Other Asian; Race of Applicant or Borrower: Free Form Text Field for Other Pacific Islander
V637|If Race of Applicant or Borrower: 1 equals 7, then Race of Applicant or Borrower Collected on the Basis of Visual Observation or Surname must equal 3.|Race of Applicant or Borrower: 1; Race of Applicant or Borrower Collected on the Basis of Visual Observation or Surname
V638-1|Race of Co-Applicant or Co-Borrower: 1 must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 4, 41, 42, 43, 44, 5, 6, 7, or 8, and cannot be left blank, unless a race is provided in Race of Co-Applicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe, Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Asian, or Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Pacific Islander.|Race of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; Race of Co-Applicant or Co-Borrower: 5; Race of Co-Applicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Asian; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Pacific Islander
V638-2|Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; Race of Co-Applicant or Co-Borrower: 5 must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 4, 41, 42, 43, 44, 5, or be left blank.|Race of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; Race of Co-Applicant or Co-Borrower: 5; Race of Co-Applicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Asian; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Pacific Islander
V638-3|Each Race of Co-Applicant or Co-Borrower code can only be reported once.|Race of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; Race of Co-Applicant or Co-Borrower: 5; Race of Co-Applicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Asian; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Pacific Islander
V638-4|If Race of Co-Applicant or Co-Borrower: 1 equals 6, 7, or 8, then Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; and Race of Co-Applicant or Co-Borrower: 5 must be left blank.|Race of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; Race of Co-Applicant or Co-Borrower: 5; Race of Co-Applicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Asian; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Pacific Islander
V639-1|Race of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname must equal 1, 2, 3, or 4, and cannot be left blank.|Race of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; Race of Co-Applicant or Co-Borrower: 5; Race of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname; Race of Co-Applicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Asian; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Pacific Islander
V639-2|If Race of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname equals 1, then Race of Co-Applicant or Co-Borrower: 1 must equal 1, 2, 3, 4, or 5; and Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; Race of Co-Applicant or Co-Borrower: 5 must equal 1, 2, 3, 4, or 5, or be left blank.|Race of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; Race of Co-Applicant or Co-Borrower: 5; Race of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname; Race of Co-Applicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Asian; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Pacific Islander
V639-3|If Race of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname equals 2, then Race of Co-Applicant or Co-Borrower: 1 must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 4, 41, 42, 43, 44, 5 or 6, and cannot be left blank, unless a race is provided in Race of Co-Applicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe, Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Asian, or Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Pacific Islander; and Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; Race of Co-Applicant or Co-Borrower: 5 must equal 1, 2, 21, 22, 23, 24, 25, 26, 27, 3, 4, 41, 42, 43, 44, 5, or be left blank.|Race of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower: 2; Race of Co-Applicant or Co-Borrower: 3; Race of Co-Applicant or Co-Borrower: 4; Race of Co-Applicant or Co-Borrower: 5; Race of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname; Race of Co-Applicant or Co-Borrower: Free Form Text Field for American Indian or Alaska Native Enrolled or Principal Tribe; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Asian; Race of Co-Applicant or Co-Borrower: Free Form Text Field for Other Pacific Islander
V640|If Race of Co-Applicant or Co-Borrower: 1 equals 7, then Race of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname must equal 3.|Race of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
V641|If Race of Co-Applicant or Co-Borrower: 1 equals 8, then Race of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname must equal 4, and the reverse must be true.|Race of Co-Applicant or Co-Borrower: 1; Race of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
V642-1|Sex of Applicant or Borrower must equal 1, 2, 3, 4, or 6, and cannot be left blank.|Sex of Applicant or Borrower; Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname
V642-2|Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname must equal 1, 2, or 3, and cannot be left blank.|Sex of Applicant or Borrower; Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname
V643|If Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname equals 1, then Sex of Applicant or Borrower must equal 1 or 2.|Sex of Applicant or Borrower; Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname
V644-1|If Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname equals 2, then Sex of Applicant or Borrower must equal 1, 2, 3, or 6.|Sex of Applicant or Borrower; Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname
V644-2|If Sex of Applicant or Borrower equals 6, then Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname must equal 2 or 3.|Sex of Applicant or Borrower; Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname
V645|If Sex of Applicant or Borrower equals 4, then Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname must equal 3.|Sex of Applicant or Borrower; Sex of Applicant or Borrower Collected on the Basis of Visual Observation or Surname
V646-1|Sex of Co-Applicant or Co-Borrower must equal 1, 2, 3, 4, 5, or 6, and cannot be left blank.|Sex of Co-Applicant or Co-Borrower; Sex of Co-Applicant or Co-Borrower Collected on the Basis of Visual Observation or Surname
